"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"GIMAP7",0,-2.436218337498,0.28,0.88,0,"GIMAP7"
"S100A8",0,3.69829570347974,0.925,0.329,0,"S100A8"
"IL32",0,-2.27271693489427,0.142,0.716,0,"IL32"
"CD2",0,-2.62459423049571,0.11,0.668,0,"CD2"
"CD3D",0,-2.60433747538169,0.12,0.676,0,"CD3D"
"CD3E",0,-2.72168335971491,0.116,0.669,0,"CD3E"
"CD52",0,-1.40003930947696,0.385,0.926,0,"CD52"
"ARL4C",0,-2.24064358214214,0.155,0.692,0,"ARL4C"
"CD3G",0,-2.48782796116436,0.118,0.654,0,"CD3G"
"TRAC",0,-2.5970196910603,0.119,0.655,0,"TRAC"
"TRBC2",0,-2.65842024774547,0.148,0.677,0,"TRBC2"
"EVL",0,-2.02980402345478,0.227,0.75,0,"EVL"
"NPM1",0,-1.7244254561124,0.433,0.945,0,"NPM1"
"NOP53",0,-1.34555680478798,0.406,0.918,0,"NOP53"
"LINC00861",0,-3.50023953541883,0.071,0.581,0,"LINC00861"
"CSF3R",0,3.72002047725138,0.797,0.29,0,"CSF3R"
"RARRES3",0,-2.11024327207396,0.196,0.696,0,"RARRES3"
"AES",0,-1.44770098887165,0.38,0.875,0,"AES"
"PPDPF",0,-1.29858140578298,0.308,0.801,0,"PPDPF"
"GIMAP4",0,-1.26758133277004,0.337,0.83,0,"GIMAP4"
